DATE,TIME,COLONY,LOCATION,SEX,AGE,CATEGORY,ITEM,SEVERITY,ACTION,OUTCOME,EQUIPMENT,NUMBER,NOTE,Year,Month,Severity_Score,Event_Count
9/1/2021,10:51:00,Cape Cross,Beach (N),Male,Juvenile,Industrial,Packaging Strap,Slight,Rescue Attempt,Item Removed,,483,-,2021,9,1,1
9/1/2021,10:31:00,Cape Cross,Walkway,Male,Juvenile,Industrial,Packaging Strap,,Rescue Attempt,Item Removed,Net,481,-,2021,9,,1
9/1/2021,10:05:00,Cape Cross,Parking,Male,Pup,Industrial,Packaging Strap,Slight,Rescue Attempt,Item Removed,Net,479,-,2021,9,1,1
9/1/2021,9:54:00,Cape Cross,Parking,Female,Pup,Industrial,Rope,Slight,Rescue Attempt,Item Removed,Net,477,-,2021,9,1,1
9/1/2021,9:33:00,Cape Cross,Beach (S),Male,Pup,Industrial,Packaging Strap,Slight,Rescue Attempt,Item Removed,Net,476,-,2021,9,1,1
9/1/2021,9:31:00,Cape Cross,Beach (S),Female,Pup,Industrial,Rope,Very Severe,Rescue Attempt,Item Removed,Net,474,-,2021,9,4,1
9/1/2021,9:23:00,Cape Cross,Beach (S),Female,Pup,Industrial,Rope,Severe,Rescue Attempt,Item Removed,,472,-,2021,9,3,1
9/1/2021,9:17:00,Cape Cross,Beach (S),Male,Pup,Industrial,Packaging Strap,,Rescue Attempt,Item Removed,,471,-,2021,9,,1
9/1/2021,8:20:00,Cape Cross,Walkway,Male,Pup,Industrial,Packaging Strap,,Rescue Attempt,Item Removed,Net,468,-,2021,9,,1
9/1/2021,7:52:00,Cape Cross,Beach (N),Female,Pup,Industrial,Rope,Very Severe,Rescue Attempt,Item Removed,Net,467,-,2021,9,4,1
